Name,Price
Crows Nest Family Apartment - 10 mins to CBD,250
Prime CBD 2 bedroom Apt 1 Min to Wynyard station,250
THE Place to See Sydney's FIREWORKS,250
"Luxury Living! Sleeps 8, 2 Car Spots, Close to CBD",250
Private Family Retreat with Spa & Pool,249
Little Albion Guest House - Classic,249
SydneyCBD/CentralAircon/TwoStory/FamilyHome,247
Split level loft apartment in Darlinghurst,246
Cottage in Bondi/Tamarama,242
Stylish 2 bdr Glebe terrace,240
Modern 1BD in Leafy Cul-De-Sac,240
2BR Nova Suites in Sydney CBD,235
Newly renovated Paddington Terrace,235
Little New York on Riley - 1BR Darlinghurst,230
Camp Cove Tropical Retreat at Watsons Bay,230
Beautiful Sydney Harbour Bridge & Opera House View,225
Tamarama Penthouse apartment,225
Art Deco 2 bedroom apt huge terrace,225
Multi level 2 bedroom apartment in Rosebery,225
Modernist Urban Retreat,220
Large Comfortable CBD Convenience,220
"""By the Bay"" ideal holiday location",220
Manly Haven- Best Location with carpark,220
Retreat in Chic Cozy 2BR APT - ❤️ of SYD CBD,218
Exquisitely Elegant Sydney Apartment,210
The North Bondi Beachshack,210
Sydney Centre City View Studio Apartment,209
Manly Escape,205
Manly Apartment 100m from Wharf,203
"CL405-Great Apartment, Everything on its Door Step",200
Stunning room in Darlinghurst,200
"Thriving city location, dining hub",200
Manly Lagoon & Beachside Apartment,200
Luxury Beach side Accommodation with pool,200
Palm Beach Bed&Breakfast ST TROPEZ,200
1 Bedroom Great Location and Views,200
The Cov @ Marrickville (the Brooklyn of Sydney),200
Stylish 2 Bed 2 Bath moments from Pitt Street Mall,200
Iconic Sydney CBD Barangaroo Harbour View Living,200
Luxury 2 storey apartment with outdoor dining,200
4 bedroom home 2km from Cronulla beaches,200
Luxurious One Bedroom Apartment in Kings Cross,200
Spacious 1br/1bath apartment in CBD with city view,200
Modern apartment Bondi Beach,200
Bondi Beachside Bliss,200
Inner-city sanctuary. Trendy area & huge courtyard,200
"Entertainers Delight, Heart of Crows Nest ALEX2",200
Sunny unit 2 bedrooms near beach,200
Darling Point,200
Rushcutters Getaway,199
Balmain Village Garden House,198
Bright and airy in the heart of Chippendale,195
Fabulous & Spacious Bondi Beach pad,195
Beach House Manly Apartment 4,195
Quiet spacious 1 bedroom apartment with parking,190
"Bright, Spacious, Sunlit 2 bed",190
Quintessential Beachside Apartment,190
Bondi Beach Large Studio with Ocean Views,189
Large 2 Bedroom Apartment close to Bondi Beach,188
Sydney Olympic Park High Level Stunning View Apt,188
Sydney Hyde Park City Apartment (checkin from 6am),185
Beauty in Birchgrove,185
"Newtown Superclean, Quiet, Roof Terrace, One Train Stop City",185
SYDNEY !RELAXED!COMFORTABLE 2 BEDROOM +2BAtH APT,181
"Drummoyne oasis, close to the bay",181
Cosy 2 levels Apartment near Central Station,181
House close to station & direct to opera house....,181
Surry Hills Studio - Your Perfect Base in Sydney,181
Close to park and sea: Light and airy family apt,181
Entire garden sanctuary terrace : heart of Newtown,181
TreeTops,181
Spacious house w/pool in Sydney,181
spacious 2 bedder with great views,181
BONDI BEACH APARTMENT - SEA VIEWS,181
Superb apartment on the water at Balmain,181
Private Luxury Apartment Sitting atop Pittwater,181
Stylish 2 BDR Apartment -Close to Redfern Station,181
Beautiful Bondi Beachside Home,179
Sydney City Pad,178
U13 One-Bedroom Apartment 3-pax (Pyrmont St),178
CHARMING 2 BRM COTTAGE BIRCHGROVE,175
"Spacious two bed apartment, Surry Hills",175
"Large Studio with Harbour glimpses, City Fringe",171
"Sunny, family friendly 2 BR BONDI Apt",171
Sydney beachside apt,171
Stylish executive studio in inner Sydney,171
Inner City Terrace - 2 rooms 2 beds - 4 ppl.,171
2 Bedroom 'In Law' style home,171
Bondi Apartment with Stunning Views,171
Bondi Beach Spacious Studio With Ocean View,169
Family Apartment B - Winter Special Discount,168
Bright and Spacious apartment,166
Studio Bimbadeen,166
Family house in Monterey for May/June/part July,165
STUNNING BEACHFRONT 2BD (3 space) APARTMENT,165
Sunny Courtyard Apartment - Sydney,165
Overlooking the Heart of the Cross.,161
Harbourside Apartment - Water Views,161
Luxurious Granny Flat. Bella Vista,161
5star apt walk to Chatswood close to Sydney City,161
2 level Modern Loft in CBD -B3,161
★ Bright Sydney CBD Studio Apt with Balcony 49★,161
Spacious Bondi Beach Studio- 600m from the beach,161
Ocean View Bondi Beach,161
Clarence House Apartment 1,161
Apartment among the trees,161
★ Bright Sydney CBD Studio Apt With Seaview 108B★,161
Classic Inner City Hideaway,161
Whole sunny apartment near Bondi Beach,161
Spacious 2 Bedroom Apartment,161
Spacious 2 bedroom apt in Chiswick,159
**Brand New**Luxe Centennial Parkside Retreat**,159
Amazing view Apt@ Olympic park,159
Double Bay Apartment with Stunning Harbour Views,156
Bronte B&B Studio,154
Kanimbla Vista Apartment,151
Sydney City Apartment  Petersham,151
Private centrally located self contained apartment,151
Beach living in Dee Why,151
Vista - 2 Bedroom Beach Front Apartment in Dee Why,151
Homely unit in a handy location,151
Little Manly retreat,151
Bright & Stunning 2BR APT w/City View &Wifi,151
Super convenient entire apartment near Sydney CBD!,151
Relax on the Terrace of a Darlinghurst Home,151
Comfy and Quiet Alexandria Apartment,151
In the centre of the Sydney city Aspire Apartments,151
"3 bedroom house close to station, CBD and airport",151
Bright Modern Warehouse Conversion,151
historical victorian mansion next to Sydney centre,151
2 Bedroom Beachfront with Parking,151
Cruisy apartment by the sea,151
Beachside apt in North Bondi,151
Warehouse style studio,151
Sydney CBD one Bedroom Resort Style Apt (我們會說中文),151
Self-contained beach accommodation near Manly,151
1 BD Luxury Apt in prime location w/ pool & tennis,151
Brightly lit double room in a great location.,151
Glebe Treetop Cottage. Just 200m to Sydney Harbour,151
Central & Modern Apartment in Heart of Sydney,151
Designer Warehouse 1BD City Living,149
Beachside studio in idealic Bronte,149
"Vaucluse, city views, large two bedroom w sunroom",149
Mezzos Studio in Sydney CBD,149
Perfect Potts Point Pied-à-terre,149
Tranquil Beach & Bush Cottage + Backyard Studio,148
Sydney City Elegance & Pool.,148
Sunny and bright 2 bedrooms + Free Private Parking,146
Quiet Terrace on the City Fringe,145
Harbour Views from North Sydney High Street,145
New apartment near city centre and shops for 4 ppl,145
Waterside appartments in Rhodes,142
Bright and Breezy Bondi Beach Pad,141
"Summer Perfect, 2 Bed, Pool & A/C in Elizabeth Bay",141
A quiet well located apartment,139
Appartment 5 minutes walk from the beach,139
Very special island bed and brunch,139
Perfectly Located Apartment With View,139
Surry Hills - Large Room w Balcony,139
Mosman Apartment,139
"Perfect Location, Apt Close to Tamarama and Bondi",139
Bondi beach at your doorstep.,139
'The Dunes' Luxury 2 Bed Beach Guesthouse Cronulla,139
Architecturally designed studio,139
Darling Harbour Gem in Pyrmont Sydney,139
Cute Beachside Get Away,139
1 BDRM IN WWP - CLOSE TO OLYMPIC PARK - WENT1610,139
BONDI BEACH HIDE AWAY ❤️,139
Modern Top Floor Apartment,138
Cozy Unit 5min from airport!,135
Outstanding Glebe Apartment,135
Sydney Olympic Park Apartment,135
Little self contained 1 bedroom just out side city,135
DOUBLE BED+FREE TEA AND COFFEE!,135
Boutique Bright Private Studio Close to the City,135
21 Neiafu by the sea @ Newport Beach,132
Bright Beach side 1 Bedroom Apartment,129
Super clean and cosy,129
Light Filled Warehouse Apartment in Surry Hills,129
1 Bed Apartment with oceans views near Manly,129
Art-Deco In The Heart of Sydney,129
"Whole apartment,w/balconies. Close to airport",129
Quiet Comfy home near Sydney with carspace + wifi,129
Sydney Studio in Glebe Close to CBD. SparklinClean,129
Bright modern top floor Mosman apartment,129
Executive private room near museum station`,129
"Private 1 bedroom apartment in Redfern, Sydney",129
Nice and cozy 2 bedroom apartment in Rose Bay,129
The Garden Studio,129
"Harbour, ocean, and city skyline views!",129
The Mini Single,129
Sunny Apartment right on the beach in North Bondi,129
Backyard cabin by lovely Pittwater,129
Ashifeld 2BR/3mins to train station 全新精品公寓近City,128
STUDIO APARTMENT + WIFI!!!!,125
Bright studio apartment close to Sydney Uni!,125
Quiet Hideaway in Middle of Everywhere,125
Elegance and Peace in Potts Point,125
Large spacious clean APT near central station,125
Perfect 2 bed in fabulous Fairlight,125
ROOM + ENSUITE INNER CITY MOD HOUSE,125
Luxury Waterloo Apartment - Resort Style Living,125
Two Bed Room Spacious brand new,124
BEACH LIFE  ❤ 3 min walk to town wharf & beach,124
Modern and Comfortable one bedroom apartment zmv,119
Super location - Walk to the City!,119
TAMARAMA BEACH  WITH SUNNY BALCONY AND BBQ.,119
Chic City Pad with Leafy Outlook,119
Comfortable cottage near all Balmain's attractions,119
Wonderfull and historic Glebe.,119
Homely Stay in the Heart of Bondi Junction,119
Best location 1 bed apt + sun room,119
Blissful Bronte,119
Breathtaking view a walk away from sydney CBD,119
Quaint apartment in an excellent location,119
"Work n Rest Free wifi Quiet, Family Fun Shops Cafe",119
"Unit 5, 65A Fitzroy St, Surry Hills",119
Close to Coogee beach and fun stuff,119
Sunny Room in Glebe Townhouse,119
in the heart of Sydney,119
Fully furnished 2 bedroom apartment waterloo,119
Sunny apartment in Neutral Bay,119
Dee Why beachside retreat,119
Wheelchair Accessible Private Room,119
Bright & spacious 1BR apartment with ocean views!,119
Sydney CBD Unique Loft Apartment with WiFi,118
Tree hide away near the beach,118
UNIQUE GARDEN FLAT – DEE WHY BEACH,118
Great studio opp. Narrabeen Lake,117
Newly renovated cosy apartment with parking,115
"Beachy style, comfort & convenience",115
"Beautiful apartment near dining, professional hubs",115
Cozy Granny Flat,115
Large/comfy 1 bed apartment- 10 mins from beach,115
"Terrace- park view, great location, quiet street.",112
Double bedroom with own lounge area & bathroom,109
100 year old Railway Carriage,109
Studio32 - Brand New & Self Contained,109
Bundeena Garden Studio near beaches,109
Waterfront Apartment Maroubra Beach,109
"Modern,Comfy and water view room",109
Hidden gem with two bedrooms at Kingswood,109
"Modern top floor unit in Brookvale, close to beach",109
Modern Apt minutes to city and beaches,109
Cosy old charm 1Bdrm Home. Close to Transport,109
"***little NeSt***@Epping--1 bedroom APT, NEAT!",109
FREE Private Tennis Court 10 minutes form Airport,109
Light Drenched and Private Cabin,109
Fun & Games in Potts Point,108
Sydney City PrivateRM203 1min Station 2Bed sleeps4,108
Lovely sydney CBD heart studio with a balcony,108
Mr Collins master bedroom,107
Executives Den - Suite 3 - Buxton House,105
No.33,105
"Tree Fern Garden Appt, Private, Peaceful, Roomy",101
Master Ensuite - Rushcutters Bay,100
Strathfield Private Hotel,100
Luxury Sydney Escape,100
Cosy Sunset View & Waterfront Apt + Free Parking,100
Spacious modern studio with amazing views,100
Spacious Room close to the Station and Sydney CBD,100
A stunning bedroom in Maroubra Jcn,100
Luxury living in a newly build House.,100
Erskineville Private Room Queen Bed,100
Rose Bay: Large 1 Bedroom Apartment,100
Stunning Queen bedroom with Balcony,100
2 Bedroom -guest parking.,100
☀️ Large modern room in the heart of Bondi Beach!,100
North Bondi Queen Bedroom Minutes From Bondi Beach,100
King Size Private Bedroom in Surry Hills,100
Sydney Parkside Apartment,100
Resort-style living one stop from Central station,100
Stunning Beachside Studio Unit  on Bondi Beach,100
Trendy and cosy apartment with bay views!,100
Ocean Views and Pool Lounging in 3-bed near Beach,100
Art Deco Apartment in Bondi,100
Fab luxury apartment  - The Watertower,100
Felix’s Home,100
Pine St room- 200 meters from the beach,100
Cute studio with Sydney Harbour Bridge views!,100
Luxurious and Modern Living - Oxford Street,100
Sunny quiet flat with sea breezes,100
Self contained studio cabin (last minute standby),100
The Bondi Suite - 50 meters to the beach!,98
Convenient located one bedroom unit,97
Artist Studio,97
Studio with bathroom and kitchenette in Newtown,97
Large 4 Bed house near Blue Mountains and Sydney,95
Large room & balcony in Redfern,95
North Curl Curl Home with a View,95
Bronte Beach Jewel Apartment,95
Room for two in amazing Surry Hills,95
New & Airy Apartment Next To Green Square Station,95
"1 Bed 1Hall 1Bath &Kitchen ,14th floor Parramatta",94
Magnificient Beach View,90
Art deco apartment in Bondi,90
Views To Die For// Studio Rushcutters Bay // Free Parking,90
Double Room In Shared Designer Apartment,90
Single  Bedroom in Dee Why,90
Cute little studio in Elizabeth Bay,90
Pyrmont Apartment. City meets Water,90
"Cosy, Comfy & Central in Potts Point",90
Converted Warehouse Apartment,90
Quiet Stylish Mosman Apartment,90
"Cosy room@ Avalon-near beaches,cafes & Pittwater",90
BONDI BEACH RETREAT,90
Modern spacious apartment in trendy Newtown,90
Featured on TV - A Current Affair Come for a swim!,88
Greatly located two people bedroom in mosman,87
Large 1 Bedroom Bondi Apartment,87
Bright Bronte beach apartment,85
"Stylish, relaxing, super convenient",85
Spare Guest Rooms in a Resort-Style House,85
"Light-filled, 1 bedroom apartment in Potts Point",85
Room on the waterfront,85
Sun filled comfortable apartment,85
Perfect for business or small family getaway,85
Artists home in Paddington: Re-listed!,85
"Stylish, modern, clean house centrally located",82
Queen bed in Newtown Home,80
Cozy house in the heart of Surry Hills,80
Private Master Room Close To Beach,80
"Small, modern and cozy apartment",80
Self contained garden/artist studio,80
Chic Queen Bed in 5 Star Location!,80
"Large, comfy & bright North Sydney 1 bed apartment",80
Inner City Spacious Loft- City View,80
Vibrant Sydney at your fingertips,80
Victorian Home Mosman Cent. Rm 2/3,80
Boutique room with attached private bathroom,80
丛林别墅,80
Historical Terrace House,78
Chic Inner City - 3 mins to Trains,75
Newly renovated home,75
Beautiful Ensuite Room -Easy access to city,75
Private room in stylish loft in Surry Hills,75
Private room in convenient & trendy location - Rm2,75
｡Townhouse,75
1 Bedroom Apartment at Hyde Park/Darlinghurst,75
Modern room private balcony and bathroom,75
Lovely Erskineville terrace near Sydney Uni/RPA,75
Double Room /w Harbour Bridge view,75
Funky 1 Bed Apt - 10min walk to CBD,74
"Beachside room not far from the airport,",73
"Brilliant, bright, cozy room, minutes to the beach",71
"Treetop Suite, Magical Location, Wonderful People",71
Rustic Home in Perfect Location,71
Unit close to CBD available for Christmas & NYE!,70
Well Located Private Stylish Double Room,70
Water-view 5-star living,70
"Large attic room, ensuite bathroom Forest Lodge",70
Balcony Room in Fun Share House!,70
Scandinavian Styled 1BR Flat with Natural Light.,70
One Bed available in Bondi for Chrismas!!!,70
Ensuite Central and Convenient 1 Bedroom Waterloo,70
Private bedroom in family home,70
Near UNSW kingsford borrodale rd single room,70
BONDI BEACH - Beach & Ocean Views,70
Bright cosy clean apartment,70
Very Convenient Apartment,70
Kathleen's Celtic House - Michael Room,70
"Clean, Convenient and Cosy",70
light sunny room 2 min to beach.,70
The Back Corner,70
Bondi Beach House,70
nice single room near unsw kingsford,70
Modern room near the beach.Amazing location!,70
Surry Hills Gem - Private Bathroom & Bedroom,70
"Great room, with balcony and private bathroom.",70
Bright Bondi Beach Pad,70
Garden studio with own bathroom,70
Oh this one's lovely... and cheap!,70
Emma's White House,70
Private Room on Bondi Beach,70
Beautiful big room in modern house,68
The Geraniums,65
Cozy  Two Bedroom,65
Bright Inner West Terrace Value+,65
Leo's economy accommodation,65
Beautiful bay view Apartment.,65
Charming & Comfy in Annandale - 2,65
"Well lit, quiet, modern apartment",65
Affordable and close to the city!,65
White Appealing furniture and large room with,65
"B & W room close to Sydney CBD airport, Sydney Uni",65
"Newtown: comfort, character and charm",65
Entire Studio Apartment 5 min walk to Sydney Uni!,64
Private Room (2)  in Guest House at Coogee Beach,64
Lovely room in a charming Surry Hills terrasse,63
Experience the Sydneysider lifestyle!,63
"Double sized room with king bed, perfect location",63
"Spacious Master Room M with ensuite,AC, study desk",63
Vaucluse hideaway,61
Large double room in Bondi,60
Rhodes Meriton Apartment,60
@@@ Luxury queen room with private bathroom @Jess',60
Fantastic Light Filled Room in Newtown,60
"Private Room w/ Lock - Close to Airport,City,Train",60
Short time rent,60
Cosy one bedroom apartment,60
Peaceful single room next to Clovelly Village,60
"Cosy, calm room minutes from CBD",60
Big and sunny Narraben room,60
Water view apartment 15min to CBD private bathroom,60
Sunny Apartment in Surry Hills- great location!,60
Spacious room with private floor in 3 story home,60
A modern room with lovely community,60
"原始森林渡假屋:4号独立房间,双人床,写字桌,舒适自然环境｡",60
Private room in central location in dee why,60
"Near Airport private room, 2 bedroom granny flat**",60
Friendly & Conveniently Home at Bondi Junction,58
Brand New One Master Bedroom Epping 全新一主人套房Epping,57
Double Room front near Central - FREE WIFI -,55
"0 min to train, two stops to central (shared)",55
Comfy & Leafy Miranda approx 5km to Cronulla Beach,55
"Beautiful House, Views, Single King, Own Bathroom",55
Bondi beach sunny house,55
Room in stunning beach house,55
Private room in new apartment,55
Nice room with ensuite in Hurstville close to TS,55
Light-filled private room next to Surry Hills,55
Small sunroom. Sydney Harbour at your doorstep,53
Room double bed $ 740 for 2 weeks,53
Delightful Canterbury Home,51
"Great location with pool, gym and sauna!",51
Specious 160m apartment,51
Private room between Bondi Beach and Junction,50
Single room with private balcony close to CBD,50
Private Room (Bunk-bed) near UNSW Kensington,50
balcony room,50
0,50
Penthouse resort Apartment feel,50
Beautiful Apartment near Bondi Junction,50
Cosy room with stunning views,50
One bedroom house with bathroom,50
21 baltic street,50
Private room in Coogee,50
Sunny cozy apartment in Sydney,50
Suburban Bush Retreat Room 2,50
Jolie Chambre-Grande Maison-10min Bondi beach,50
Room rent in Coogee,50
Comfortable large single bedroom for female guests,50
Sunny private room: Newtown terrace,50
huge room in trendy Erskineville. 5 mins to city,48
QUick NYE spotover,48
Quiet space for one,47
luxury room  with toilet  for couples Or woman.bus,45
"Studio convenient to CBD, beaches, street parking.",45
Bright room in Spacious house close to Airport,45
1 bedroom fully furnished with private bathroom,45
Room in beach house 200m to beach,45
Outskirts of Sydney,45
"$29 per night, near city,free wifi, own room,WOW!!",45
Private triple  Room in South Wentworthville,44
Sunny Room (for One) Minutes from Coogee Beach!,43
Quiet and clean apartment.,43
Room near a Lovely Beach & Airport,43
SYDNEY! Great Stay For Holiday,43
Comfortable queen bed.Walk to Epping station,43
Cosy Cottage blue,41
舒适小屋,40
Enjoy your stay at CyrstalSilver house,40
Sydney Inner West room. Single or King bed,40
Big Bright Room in a Historic Surry Hills Pub,40
Cozy private room C,38
Private Room in beach apartment in Bondi,38
"Bright room, super close to station and center",38
[Darling Harbour] Private Room in Morden House,37
Cozy home!,37
Large sgl rm close to shops/restaurants/transport.,37
Private Room with own bathroom,37
"Friendly Apartment, 10m from Manly",36
Great  house with a big room No. 6,36
城堡山民宿2,33
Well located,33
Light-filled room in Newtown beautiful terrace,33
private bedroom at great location,31
40 mins bus to city.close to big shopping mall.,30
affordable living,16
Close to EELS rugby club n CBD,14
